microservice,pod,median,latency,cpuUsage,memUsage,repeat,service,cpuInter,memInter,targetReqFreq,reqFreq
unique-id-service,unique-id-service,16.0,27.64999999999999,2,2,0,ComposePost,0,0,200.0,200.0
user-service,user-service,9.0,14.349999999999966,2,2,0,ComposePost,0,0,200.0,200.0
compose-post-service,compose-post-service,386.0,3076.0,2,2,0,UserTimeline,0,0,200.0,200.0
home-timeline-service,home-timeline-service,71.5,498.0999999999999,2,2,0,UserTimeline,0,0,200.0,200.0
nginx-web-server,nginx-thrift,566.5,1807.099999999999,2,2,0,UserTimeline,0,0,200.0,200.0
post-storage-service,post-storage-service,42.0,98.04999999999995,2,2,0,UserTimeline,0,0,200.0,200.0
social-graph-service,social-graph-service,57.0,166.29999999999973,2,2,0,UserTimeline,0,0,200.0,200.0
text-service,text-service,265.0,526.0,2,2,0,UserTimeline,0,0,200.0,200.0
url-shorten-service,url-shorten-service,117.0,243.99999999999983,2,2,0,UserTimeline,0,0,200.0,200.0
user-mention-service,user-mention-service,44.5,103.0,2,2,0,UserTimeline,0,0,200.0,200.0
user-timeline-service,user-timeline-service,58.0,163.14999999999986,2,2,0,UserTimeline,0,0,200.0,200.0
media-service,media-service,8.0,15.0,2,2,0,UserTimeline,0,0,200.0,200.0
unique-id-service,unique-id-service,16.0,27.64999999999999,2,2,0,UserTimeline,0,0,200.0,200.0
user-service,user-service,9.0,14.349999999999966,2,2,0,UserTimeline,0,0,200.0,200.0
compose-post-service,compose-post-service,386.0,3076.0,2,2,0,HomeTimeline,0,0,200.0,200.0
home-timeline-service,home-timeline-service,71.5,498.0999999999999,2,2,0,HomeTimeline,0,0,200.0,200.0
nginx-web-server,nginx-thrift,566.5,1807.099999999999,2,2,0,HomeTimeline,0,0,200.0,200.0
post-storage-service,post-storage-service,42.0,98.04999999999995,2,2,0,HomeTimeline,0,0,200.0,200.0
social-graph-service,social-graph-service,57.0,166.29999999999973,2,2,0,HomeTimeline,0,0,200.0,200.0
text-service,text-service,265.0,526.0,2,2,0,HomeTimeline,0,0,200.0,200.0
url-shorten-service,url-shorten-service,117.0,243.99999999999983,2,2,0,HomeTimeline,0,0,200.0,200.0
user-mention-service,user-mention-service,44.5,103.0,2,2,0,HomeTimeline,0,0,200.0,200.0
user-timeline-service,user-timeline-service,58.0,163.14999999999986,2,2,0,HomeTimeline,0,0,200.0,200.0
media-service,media-service,8.0,15.0,2,2,0,HomeTimeline,0,0,200.0,200.0
unique-id-service,unique-id-service,16.0,27.64999999999999,2,2,0,HomeTimeline,0,0,200.0,200.0
user-service,user-service,9.0,14.349999999999966,2,2,0,HomeTimeline,0,0,200.0,200.0
compose-post-service,compose-post-service,2324.0,122252.0,2,2,0,ComposePost,0,0,575.0,575.0
home-timeline-service,home-timeline-service,35.5,891.25,2,2,0,ComposePost,0,0,575.0,575.0
nginx-web-server,nginx-thrift,834.0,43988.25,2,2,0,ComposePost,0,0,575.0,575.0
post-storage-service,post-storage-service,39.0,248.94999999999976,2,2,0,ComposePost,0,0,575.0,575.0
social-graph-service,social-graph-service,52.5,276.34999999999985,2,2,0,ComposePost,0,0,575.0,575.0
text-service,text-service,313.0,14803.0,2,2,0,ComposePost,0,0,575.0,575.0
url-shorten-service,url-shorten-service,87.0,1977.5999999999985,2,2,0,ComposePost,0,0,575.0,575.0
user-mention-service,user-mention-service,44.5,1157.9999999999998,2,2,0,ComposePost,0,0,575.0,575.0
user-timeline-service,user-timeline-service,53.0,795.3999999999987,2,2,0,ComposePost,0,0,575.0,575.0
media-service,media-service,7.0,14.0,2,2,0,ComposePost,0,0,575.0,575.0
unique-id-service,unique-id-service,13.5,30.45,2,2,0,ComposePost,0,0,575.0,575.0
user-service,user-service,8.0,23.25,2,2,0,ComposePost,0,0,575.0,575.0
compose-post-service,compose-post-service,2324.0,122252.0,2,2,0,UserTimeline,0,0,575.0,575.0
home-timeline-service,home-timeline-service,35.5,891.25,2,2,0,UserTimeline,0,0,575.0,575.0
nginx-web-server,nginx-thrift,834.0,43988.25,2,2,0,UserTimeline,0,0,575.0,575.0
post-storage-service,post-storage-service,39.0,248.94999999999976,2,2,0,UserTimeline,0,0,575.0,575.0
social-graph-service,social-graph-service,52.5,276.34999999999985,2,2,0,UserTimeline,0,0,575.0,575.0
text-service,text-service,313.0,14803.0,2,2,0,UserTimeline,0,0,575.0,575.0
url-shorten-service,url-shorten-service,87.0,1977.5999999999985,2,2,0,UserTimeline,0,0,575.0,575.0
user-mention-service,user-mention-service,44.5,1157.9999999999998,2,2,0,UserTimeline,0,0,575.0,575.0
user-timeline-service,user-timeline-service,53.0,795.3999999999987,2,2,0,UserTimeline,0,0,575.0,575.0
media-service,media-service,7.0,14.0,2,2,0,UserTimeline,0,0,575.0,575.0
unique-id-service,unique-id-service,13.5,30.45,2,2,0,UserTimeline,0,0,575.0,575.0
user-service,user-service,8.0,23.25,2,2,0,UserTimeline,0,0,575.0,575.0
compose-post-service,compose-post-service,2324.0,122252.0,2,2,0,HomeTimeline,0,0,575.0,575.0
home-timeline-service,home-timeline-service,35.5,891.25,2,2,0,HomeTimeline,0,0,575.0,575.0
nginx-web-server,nginx-thrift,834.0,43988.25,2,2,0,HomeTimeline,0,0,575.0,575.0
post-storage-service,post-storage-service,39.0,248.94999999999976,2,2,0,HomeTimeline,0,0,575.0,575.0
social-graph-service,social-graph-service,52.5,276.34999999999985,2,2,0,HomeTimeline,0,0,575.0,575.0
text-service,text-service,313.0,14803.0,2,2,0,HomeTimeline,0,0,575.0,575.0
url-shorten-service,url-shorten-service,87.0,1977.5999999999985,2,2,0,HomeTimeline,0,0,575.0,575.0
user-mention-service,user-mention-service,44.5,1157.9999999999998,2,2,0,HomeTimeline,0,0,575.0,575.0
user-timeline-service,user-timeline-service,53.0,795.3999999999987,2,2,0,HomeTimeline,0,0,575.0,575.0
media-service,media-service,7.0,14.0,2,2,0,HomeTimeline,0,0,575.0,575.0
unique-id-service,unique-id-service,13.5,30.45,2,2,0,HomeTimeline,0,0,575.0,575.0
user-service,user-service,8.0,23.25,2,2,0,HomeTimeline,0,0,575.0,575.0
compose-post-service,compose-post-service,469.0,3023.8999999999787,2,2,0,ComposePost,0,0,125.0,125.0
home-timeline-service,home-timeline-service,73.0,531.2999999999997,2,2,0,ComposePost,0,0,125.0,125.0
nginx-web-server,nginx-thrift,567.5,1498.1499999999999,2,2,0,ComposePost,0,0,125.0,125.0
post-storage-service,post-storage-service,34.0,67.0,2,2,0,ComposePost,0,0,125.0,125.0
social-graph-service,social-graph-service,58.0,242.0,2,2,0,ComposePost,0,0,125.0,125.0
text-service,text-service,281.0,552.1999999999998,2,2,0,ComposePost,0,0,125.0,125.0
url-shorten-service,url-shorten-service,138.5,271.7,2,2,0,ComposePost,0,0,125.0,125.0
user-mention-service,user-mention-service,68.5,202.0,2,2,0,ComposePost,0,0,125.0,125.0
user-timeline-service,user-timeline-service,63.0,248.0,2,2,0,ComposePost,0,0,125.0,125.0
media-service,media-service,8.0,14.75,2,2,0,ComposePost,0,0,125.0,125.0
unique-id-service,unique-id-service,15.0,29.75,2,2,0,ComposePost,0,0,125.0,125.0
user-service,user-service,11.0,15.0,2,2,0,ComposePost,0,0,125.0,125.0
compose-post-service,compose-post-service,469.0,3023.8999999999787,2,2,0,UserTimeline,0,0,125.0,125.0
home-timeline-service,home-timeline-service,73.0,531.2999999999997,2,2,0,UserTimeline,0,0,125.0,125.0
nginx-web-server,nginx-thrift,567.5,1498.1499999999999,2,2,0,UserTimeline,0,0,125.0,125.0
post-storage-service,post-storage-service,34.0,67.0,2,2,0,UserTimeline,0,0,125.0,125.0
social-graph-service,social-graph-service,58.0,242.0,2,2,0,UserTimeline,0,0,125.0,125.0
text-service,text-service,281.0,552.1999999999998,2,2,0,UserTimeline,0,0,125.0,125.0
url-shorten-service,url-shorten-service,138.5,271.7,2,2,0,UserTimeline,0,0,125.0,125.0
user-mention-service,user-mention-service,68.5,202.0,2,2,0,UserTimeline,0,0,125.0,125.0
user-timeline-service,user-timeline-service,63.0,248.0,2,2,0,UserTimeline,0,0,125.0,125.0
media-service,media-service,8.0,14.75,2,2,0,UserTimeline,0,0,125.0,125.0
unique-id-service,unique-id-service,15.0,29.75,2,2,0,UserTimeline,0,0,125.0,125.0
user-service,user-service,11.0,15.0,2,2,0,UserTimeline,0,0,125.0,125.0
compose-post-service,compose-post-service,469.0,3023.8999999999787,2,2,0,HomeTimeline,0,0,125.0,125.0
home-timeline-service,home-timeline-service,73.0,531.2999999999997,2,2,0,HomeTimeline,0,0,125.0,125.0
nginx-web-server,nginx-thrift,567.5,1498.1499999999999,2,2,0,HomeTimeline,0,0,125.0,125.0
post-storage-service,post-storage-service,34.0,67.0,2,2,0,HomeTimeline,0,0,125.0,125.0
social-graph-service,social-graph-service,58.0,242.0,2,2,0,HomeTimeline,0,0,125.0,125.0
text-service,text-service,281.0,552.1999999999998,2,2,0,HomeTimeline,0,0,125.0,125.0
url-shorten-service,url-shorten-service,138.5,271.7,2,2,0,HomeTimeline,0,0,125.0,125.0
user-mention-service,user-mention-service,68.5,202.0,2,2,0,HomeTimeline,0,0,125.0,125.0
user-timeline-service,user-timeline-service,63.0,248.0,2,2,0,HomeTimeline,0,0,125.0,125.0
media-service,media-service,8.0,14.75,2,2,0,HomeTimeline,0,0,125.0,125.0
unique-id-service,unique-id-service,15.0,29.75,2,2,0,HomeTimeline,0,0,125.0,125.0
user-service,user-service,11.0,15.0,2,2,0,HomeTimeline,0,0,125.0,125.0
compose-post-service,compose-post-service,3472.0,110205.0,2,2,0,ComposePost,0,0,375.0,375.0
home-timeline-service,home-timeline-service,45.0,459.04999999999995,2,2,0,ComposePost,0,0,375.0,375.0
nginx-web-server,nginx-thrift,540.0,3363.7499999999945,2,2,0,ComposePost,0,0,375.0,375.0
post-storage-service,post-storage-service,44.0,2349.1499999999996,2,2,0,ComposePost,0,0,375.0,375.0
social-graph-service,social-graph-service,49.0,271.04999999999995,2,2,0,ComposePost,0,0,375.0,375.0
text-service,text-service,349.0,4334.0,2,2,0,ComposePost,0,0,375.0,375.0
url-shorten-service,url-shorten-service,110.0,326.9999999999999,2,2,0,ComposePost,0,0,375.0,375.0
user-mention-service,user-mention-service,65.0,587.0,2,2,0,ComposePost,0,0,375.0,375.0
user-timeline-service,user-timeline-service,69.0,961.2999999999995,2,2,0,ComposePost,0,0,375.0,375.0
media-service,media-service,7.0,15.0,2,2,0,ComposePost,0,0,375.0,375.0
unique-id-service,unique-id-service,21.0,106.0,2,2,0,ComposePost,0,0,375.0,375.0
user-service,user-service,9.0,13.0,2,2,0,ComposePost,0,0,375.0,375.0
compose-post-service,compose-post-service,3472.0,110205.0,2,2,0,UserTimeline,0,0,375.0,375.0
home-timeline-service,home-timeline-service,45.0,459.04999999999995,2,2,0,UserTimeline,0,0,375.0,375.0
nginx-web-server,nginx-thrift,540.0,3363.7499999999945,2,2,0,UserTimeline,0,0,375.0,375.0
post-storage-service,post-storage-service,44.0,2349.1499999999996,2,2,0,UserTimeline,0,0,375.0,375.0
social-graph-service,social-graph-service,49.0,271.04999999999995,2,2,0,UserTimeline,0,0,375.0,375.0
text-service,text-service,349.0,4334.0,2,2,0,UserTimeline,0,0,375.0,375.0
url-shorten-service,url-shorten-service,110.0,326.9999999999999,2,2,0,UserTimeline,0,0,375.0,375.0
user-mention-service,user-mention-service,65.0,587.0,2,2,0,UserTimeline,0,0,375.0,375.0
user-timeline-service,user-timeline-service,69.0,961.2999999999995,2,2,0,UserTimeline,0,0,375.0,375.0
media-service,media-service,7.0,15.0,2,2,0,UserTimeline,0,0,375.0,375.0
unique-id-service,unique-id-service,21.0,106.0,2,2,0,UserTimeline,0,0,375.0,375.0
user-service,user-service,9.0,13.0,2,2,0,UserTimeline,0,0,375.0,375.0
compose-post-service,compose-post-service,3472.0,110205.0,2,2,0,HomeTimeline,0,0,375.0,375.0
home-timeline-service,home-timeline-service,45.0,459.04999999999995,2,2,0,HomeTimeline,0,0,375.0,375.0
nginx-web-server,nginx-thrift,540.0,3363.7499999999945,2,2,0,HomeTimeline,0,0,375.0,375.0
post-storage-service,post-storage-service,44.0,2349.1499999999996,2,2,0,HomeTimeline,0,0,375.0,375.0
social-graph-service,social-graph-service,49.0,271.04999999999995,2,2,0,HomeTimeline,0,0,375.0,375.0
text-service,text-service,349.0,4334.0,2,2,0,HomeTimeline,0,0,375.0,375.0
url-shorten-service,url-shorten-service,110.0,326.9999999999999,2,2,0,HomeTimeline,0,0,375.0,375.0
user-mention-service,user-mention-service,65.0,587.0,2,2,0,HomeTimeline,0,0,375.0,375.0
user-timeline-service,user-timeline-service,69.0,961.2999999999995,2,2,0,HomeTimeline,0,0,375.0,375.0
media-service,media-service,7.0,15.0,2,2,0,HomeTimeline,0,0,375.0,375.0
unique-id-service,unique-id-service,21.0,106.0,2,2,0,HomeTimeline,0,0,375.0,375.0
user-service,user-service,9.0,13.0,2,2,0,HomeTimeline,0,0,375.0,375.0
compose-post-service,compose-post-service,2801.0,120143.0,2,2,0,ComposePost,0,0,400.0,400.0
home-timeline-service,home-timeline-service,67.0,530.05,2,2,0,ComposePost,0,0,400.0,400.0
nginx-web-server,nginx-thrift,527.0,2781.6999999999957,2,2,0,ComposePost,0,0,400.0,400.0
post-storage-service,post-storage-service,42.0,174.0999999999999,2,2,0,ComposePost,0,0,400.0,400.0
social-graph-service,social-graph-service,49.0,333.2999999999997,2,2,0,ComposePost,0,0,400.0,400.0
text-service,text-service,337.0,4680.0,2,2,0,ComposePost,0,0,400.0,400.0
url-shorten-service,url-shorten-service,103.0,290.5,2,2,0,ComposePost,0,0,400.0,400.0
user-mention-service,user-mention-service,42.0,205.3499999999999,2,2,0,ComposePost,0,0,400.0,400.0
user-timeline-service,user-timeline-service,65.0,1534.1999999999966,2,2,0,ComposePost,0,0,400.0,400.0
media-service,media-service,9.0,17.049999999999955,2,2,0,ComposePost,0,0,400.0,400.0
unique-id-service,unique-id-service,20.0,29.0,2,2,0,ComposePost,0,0,400.0,400.0
user-service,user-service,8.0,13.049999999999955,2,2,0,ComposePost,0,0,400.0,400.0
compose-post-service,compose-post-service,2801.0,120143.0,2,2,0,UserTimeline,0,0,400.0,400.0
home-timeline-service,home-timeline-service,67.0,530.05,2,2,0,UserTimeline,0,0,400.0,400.0
nginx-web-server,nginx-thrift,527.0,2781.6999999999957,2,2,0,UserTimeline,0,0,400.0,400.0
post-storage-service,post-storage-service,42.0,174.0999999999999,2,2,0,UserTimeline,0,0,400.0,400.0
social-graph-service,social-graph-service,49.0,333.2999999999997,2,2,0,UserTimeline,0,0,400.0,400.0
text-service,text-service,337.0,4680.0,2,2,0,UserTimeline,0,0,400.0,400.0
url-shorten-service,url-shorten-service,103.0,290.5,2,2,0,UserTimeline,0,0,400.0,400.0
user-mention-service,user-mention-service,42.0,205.3499999999999,2,2,0,UserTimeline,0,0,400.0,400.0
user-timeline-service,user-timeline-service,65.0,1534.1999999999966,2,2,0,UserTimeline,0,0,400.0,400.0
media-service,media-service,9.0,17.049999999999955,2,2,0,UserTimeline,0,0,400.0,400.0
unique-id-service,unique-id-service,20.0,29.0,2,2,0,UserTimeline,0,0,400.0,400.0
user-service,user-service,8.0,13.049999999999955,2,2,0,UserTimeline,0,0,400.0,400.0
compose-post-service,compose-post-service,2801.0,120143.0,2,2,0,HomeTimeline,0,0,400.0,400.0
home-timeline-service,home-timeline-service,67.0,530.05,2,2,0,HomeTimeline,0,0,400.0,400.0
nginx-web-server,nginx-thrift,527.0,2781.6999999999957,2,2,0,HomeTimeline,0,0,400.0,400.0
post-storage-service,post-storage-service,42.0,174.0999999999999,2,2,0,HomeTimeline,0,0,400.0,400.0
social-graph-service,social-graph-service,49.0,333.2999999999997,2,2,0,HomeTimeline,0,0,400.0,400.0
text-service,text-service,337.0,4680.0,2,2,0,HomeTimeline,0,0,400.0,400.0
url-shorten-service,url-shorten-service,103.0,290.5,2,2,0,HomeTimeline,0,0,400.0,400.0
user-mention-service,user-mention-service,42.0,205.3499999999999,2,2,0,HomeTimeline,0,0,400.0,400.0
user-timeline-service,user-timeline-service,65.0,1534.1999999999966,2,2,0,HomeTimeline,0,0,400.0,400.0
media-service,media-service,9.0,17.049999999999955,2,2,0,HomeTimeline,0,0,400.0,400.0
unique-id-service,unique-id-service,20.0,29.0,2,2,0,HomeTimeline,0,0,400.0,400.0
user-service,user-service,8.0,13.049999999999955,2,2,0,HomeTimeline,0,0,400.0,400.0
compose-post-service,compose-post-service,500.0,2203.5999999999985,2,2,0,ComposePost,0,0,50.0,50.0
home-timeline-service,home-timeline-service,82.0,551.0999999999999,2,2,0,ComposePost,0,0,50.0,50.0
nginx-web-server,nginx-thrift,613.5,1457.2499999999998,2,2,0,ComposePost,0,0,50.0,50.0
post-storage-service,post-storage-service,46.0,120.0,2,2,0,ComposePost,0,0,50.0,50.0
social-graph-service,social-graph-service,61.0,161.0999999999999,2,2,0,ComposePost,0,0,50.0,50.0
text-service,text-service,317.0,681.0999999999999,2,2,0,ComposePost,0,0,50.0,50.0
url-shorten-service,url-shorten-service,142.0,279.59999999999997,2,2,0,ComposePost,0,0,50.0,50.0
user-mention-service,user-mention-service,52.0,118.0,2,2,0,ComposePost,0,0,50.0,50.0
user-timeline-service,user-timeline-service,67.0,182.0999999999999,2,2,0,ComposePost,0,0,50.0,50.0
media-service,media-service,9.0,16.0,2,2,0,ComposePost,0,0,50.0,50.0
unique-id-service,unique-id-service,21.0,31.049999999999955,2,2,0,ComposePost,0,0,50.0,50.0
user-service,user-service,10.0,15.0,2,2,0,ComposePost,0,0,50.0,50.0
compose-post-service,compose-post-service,500.0,2203.5999999999985,2,2,0,UserTimeline,0,0,50.0,50.0
home-timeline-service,home-timeline-service,82.0,551.0999999999999,2,2,0,UserTimeline,0,0,50.0,50.0
nginx-web-server,nginx-thrift,613.5,1457.2499999999998,2,2,0,UserTimeline,0,0,50.0,50.0
post-storage-service,post-storage-service,46.0,120.0,2,2,0,UserTimeline,0,0,50.0,50.0
social-graph-service,social-graph-service,61.0,161.0999999999999,2,2,0,UserTimeline,0,0,50.0,50.0
text-service,text-service,317.0,681.0999999999999,2,2,0,UserTimeline,0,0,50.0,50.0
url-shorten-service,url-shorten-service,142.0,279.59999999999997,2,2,0,UserTimeline,0,0,50.0,50.0
user-mention-service,user-mention-service,52.0,118.0,2,2,0,UserTimeline,0,0,50.0,50.0
user-timeline-service,user-timeline-service,67.0,182.0999999999999,2,2,0,UserTimeline,0,0,50.0,50.0
media-service,media-service,9.0,16.0,2,2,0,UserTimeline,0,0,50.0,50.0
unique-id-service,unique-id-service,21.0,31.049999999999955,2,2,0,UserTimeline,0,0,50.0,50.0
user-service,user-service,10.0,15.0,2,2,0,UserTimeline,0,0,50.0,50.0
compose-post-service,compose-post-service,500.0,2203.5999999999985,2,2,0,HomeTimeline,0,0,50.0,50.0
home-timeline-service,home-timeline-service,82.0,551.0999999999999,2,2,0,HomeTimeline,0,0,50.0,50.0
nginx-web-server,nginx-thrift,613.5,1457.2499999999998,2,2,0,HomeTimeline,0,0,50.0,50.0
post-storage-service,post-storage-service,46.0,120.0,2,2,0,HomeTimeline,0,0,50.0,50.0
social-graph-service,social-graph-service,61.0,161.0999999999999,2,2,0,HomeTimeline,0,0,50.0,50.0
text-service,text-service,317.0,681.0999999999999,2,2,0,HomeTimeline,0,0,50.0,50.0
url-shorten-service,url-shorten-service,142.0,279.59999999999997,2,2,0,HomeTimeline,0,0,50.0,50.0
user-mention-service,user-mention-service,52.0,118.0,2,2,0,HomeTimeline,0,0,50.0,50.0
user-timeline-service,user-timeline-service,67.0,182.0999999999999,2,2,0,HomeTimeline,0,0,50.0,50.0
media-service,media-service,9.0,16.0,2,2,0,HomeTimeline,0,0,50.0,50.0
unique-id-service,unique-id-service,21.0,31.049999999999955,2,2,0,HomeTimeline,0,0,50.0,50.0
user-service,user-service,10.0,15.0,2,2,0,HomeTimeline,0,0,50.0,50.0
compose-post-service,compose-post-service,2472.0,47591.0,2,2,0,ComposePost,0,0,250.0,250.0
home-timeline-service,home-timeline-service,71.5,570.0999999999999,2,2,0,ComposePost,0,0,250.0,250.0
nginx-web-server,nginx-thrift,580.5,2422.099999999997,2,2,0,ComposePost,0,0,250.0,250.0
post-storage-service,post-storage-service,35.0,97.09999999999991,2,2,0,ComposePost,0,0,250.0,250.0
social-graph-service,social-graph-service,59.5,639.5499999999995,2,2,0,ComposePost,0,0,250.0,250.0
text-service,text-service,319.5,1335.0,2,2,0,ComposePost,0,0,250.0,250.0
url-shorten-service,url-shorten-service,137.0,348.39999999999986,2,2,0,ComposePost,0,0,250.0,250.0
user-mention-service,user-mention-service,68.0,379.0,2,2,0,ComposePost,0,0,250.0,250.0
user-timeline-service,user-timeline-service,64.0,1215.0,2,2,0,ComposePost,0,0,250.0,250.0
media-service,media-service,8.0,16.0,2,2,0,ComposePost,0,0,250.0,250.0
unique-id-service,unique-id-service,16.0,27.049999999999955,2,2,0,ComposePost,0,0,250.0,250.0
user-service,user-service,9.0,14.0,2,2,0,ComposePost,0,0,250.0,250.0
compose-post-service,compose-post-service,2472.0,47591.0,2,2,0,UserTimeline,0,0,250.0,250.0
home-timeline-service,home-timeline-service,71.5,570.0999999999999,2,2,0,UserTimeline,0,0,250.0,250.0
nginx-web-server,nginx-thrift,580.5,2422.099999999997,2,2,0,UserTimeline,0,0,250.0,250.0
post-storage-service,post-storage-service,35.0,97.09999999999991,2,2,0,UserTimeline,0,0,250.0,250.0
social-graph-service,social-graph-service,59.5,639.5499999999995,2,2,0,UserTimeline,0,0,250.0,250.0
text-service,text-service,319.5,1335.0,2,2,0,UserTimeline,0,0,250.0,250.0
url-shorten-service,url-shorten-service,137.0,348.39999999999986,2,2,0,UserTimeline,0,0,250.0,250.0
user-mention-service,user-mention-service,68.0,379.0,2,2,0,UserTimeline,0,0,250.0,250.0
user-timeline-service,user-timeline-service,64.0,1215.0,2,2,0,UserTimeline,0,0,250.0,250.0
media-service,media-service,8.0,16.0,2,2,0,UserTimeline,0,0,250.0,250.0
unique-id-service,unique-id-service,16.0,27.049999999999955,2,2,0,UserTimeline,0,0,250.0,250.0
user-service,user-service,9.0,14.0,2,2,0,UserTimeline,0,0,250.0,250.0
compose-post-service,compose-post-service,2472.0,47591.0,2,2,0,HomeTimeline,0,0,250.0,250.0
home-timeline-service,home-timeline-service,71.5,570.0999999999999,2,2,0,HomeTimeline,0,0,250.0,250.0
nginx-web-server,nginx-thrift,580.5,2422.099999999997,2,2,0,HomeTimeline,0,0,250.0,250.0
post-storage-service,post-storage-service,35.0,97.09999999999991,2,2,0,HomeTimeline,0,0,250.0,250.0
social-graph-service,social-graph-service,59.5,639.5499999999995,2,2,0,HomeTimeline,0,0,250.0,250.0
text-service,text-service,319.5,1335.0,2,2,0,HomeTimeline,0,0,250.0,250.0
url-shorten-service,url-shorten-service,137.0,348.39999999999986,2,2,0,HomeTimeline,0,0,250.0,250.0
user-mention-service,user-mention-service,68.0,379.0,2,2,0,HomeTimeline,0,0,250.0,250.0
user-timeline-service,user-timeline-service,64.0,1215.0,2,2,0,HomeTimeline,0,0,250.0,250.0
media-service,media-service,8.0,16.0,2,2,0,HomeTimeline,0,0,250.0,250.0
